nama_klasifikasi_barang,kd_inventaris,nama_barang
ALAT LAINNYA,06.03.12,Kabel listrik serabut
ALAT LAINNYA,06.03.12,KABEL OLOR
ALAT LAINNYA,06.03.12,Kabel Roll
ALAT LAINNYA,06.03.12,KABEL SAMBUNG 4 LUBANG
ALAT LAINNYA,06.03.12,KACA
ALAT LAINNYA,06.03.12,KACA MATA PUTIH
ALAT LAINNYA,06.03.12,KACAMATA SAFETY
ALAT LAINNYA,06.03.12,Kain Pel
ALAT LAINNYA,06.03.12,Kain Perlak
ALAT LAINNYA,06.03.12,KALENG AIR 
ALAT LAINNYA,06.03.12,KAOS TANGAN
ALAT LAINNYA,06.03.12,KARPET MERAH
ALAT LAINNYA,06.03.12,KASURAN KURSI SPON (22BH)
ALAT LAINNYA,06.03.12,KASURAN KURSI SPON (5BH)
ALAT LAINNYA,06.03.12,KEMOCENG
ALAT LAINNYA,06.03.12,KERANJANG
ALAT LAINNYA,06.03.12,KERANJANG AQUA
ALAT LAINNYA,06.03.12,KERANJANG ATK
ALAT LAINNYA,06.03.12,Keranjang Buah
ALAT LAINNYA,06.03.12,KERANJANG DOKUMEN COKLAT
ALAT LAINNYA,06.03.12,Keset
ALAT LAINNYA,06.03.12,Keset Anti Slip Coklat
ALAT LAINNYA,06.03.12,Keset Coklat
ALAT LAINNYA,06.03.12,Keset Hitam Besar
ALAT LAINNYA,06.03.12,Keset Hitam Kecil
ALAT LAINNYA,06.03.12,KESET INFORMA
ALAT LAINNYA,06.03.12,Keset Lift abu-abu
ALAT LAINNYA,06.03.12,Keset Merah
ALAT LAINNYA,06.03.12,KESET PINTU
ALAT LAINNYA,06.03.12,KESET PINTU 60 x 90 cm
ALAT LAINNYA,06.03.12,Keset Tangga
ALAT LAINNYA,06.03.12,KESET UNTUK TOILET
ALAT LAINNYA,06.03.12,KITCHEN SET
ALAT LAINNYA,06.03.12,KLOSET
ALAT LAINNYA,06.03.12,KLOSET ECOFLUSH
ALAT LAINNYA,06.03.12,KLOSET TOTO
ALAT LAINNYA,06.03.12,KONTAINER
ALAT LAINNYA,06.03.12,KONTAINER BESAR
ALAT LAINNYA,06.03.12,KONTAINER BESAR 1
ALAT LAINNYA,06.03.12,KONTAINER BESAR 2
ALAT LAINNYA,06.03.12,Kontainer Box
ALAT LAINNYA,06.03.12,KONTAINER SEDANG
ALAT LAINNYA,06.03.12,KONTAINER SEDANG 1
ALAT LAINNYA,06.03.12,KONTAINER SEDANG 2
ALAT LAINNYA,06.03.12,KONTAINER SEDANG 3
ALAT LAINNYA,06.03.12,KONTAINER SEDANG 4
ALAT LAINNYA,06.03.12,KONTAINER SEDANG 5
ALAT LAINNYA,06.03.12,KORENTANG 25cm
ALAT LAINNYA,06.03.12,KOTAK AMAL
ALAT LAINNYA,06.03.12,KOTAK ATK
ALAT LAINNYA,06.03.12,Kotak Infaq Karyawan
ALAT LAINNYA,06.03.12,KOTAK KUNCI
ALAT LAINNYA,06.03.12,kotak Obat P3K
ALAT LAINNYA,06.03.12,Kotak P3K
ALAT LAINNYA,06.03.12,KOTAK PENYIMPAN
ALAT LAINNYA,06.03.12,KOTAK PENYIMPAN AMPLOP HASIL
ALAT LAINNYA,06.03.12,KOTAK PENYIMPAN STEMPEL
ALAT LAINNYA,06.03.12,Kotak Perkakas 
ALAT LAINNYA,06.03.12,Kotak tempat pensil
ALAT LAINNYA,06.03.12,KOTAK TISSUE
ALAT LAINNYA,06.03.12,KOTAK TISSUE STAINLESS INFORMA
ALAT LAINNYA,06.03.12,Kotak Tisu
ALAT LAINNYA,06.03.12,Kuduwave Portable Audiometer
ALAT LAINNYA,06.03.12,KUNCI BESAR (KUNCI INGGRIS)
ALAT LAINNYA,06.03.12,Kunci shock set
ALAT LAINNYA,06.03.12,KURSI LIPAT PORTABLE HITAM
ALAT LAINNYA,06.03.12,KURSI LIPAT PORTABLE PUTIH
